Word,Weight
RED,1
CRIMSON,1
SCARLET,1
VERMILION,1
RUBY,1
GARNET,1
MAROON,1
RUSSET,1
IRON,1
STEEL,1
COBALT,1
AZURE,1
COPPER,1
BRONZE,1
GOLDEN,1
AMBER,1
SILVER,1
PLATINUM,1
BRASS,1
JADE,1
EMERALD,1
VIRIDIAN,1
OLIVE,1
OBSIDIAN,1
ONYX,1
BLACK,1
EBONY,1
SABLE,1
ASHEN,1
SLATE,1
GRAY,1
PEWTER,1
LEADEN,1
PALE,1
IVORY,1
ALABASTER,1
SNOWY,1
FROZEN,1
FROSTED,1
GLACIAL,1
ARCTIC,1
WINTRY,1
BURNING,1
BLAZING,1
SMOLDERING,1
SCORCHED,1
MOLTEN,1
SEARING,1
FADED,1
WEATHERED,1
TARNISHED,1
RUSTED,1
CORRODED,1
BROKEN,1
SHATTERED,1
SPLINTERED,1
CRACKED,1
FRACTURED,1
HOLLOW,1
EMPTY,1
BARREN,1
SILENT,1
MUTED,1
QUIET,1
HUSHED,1
NOISELESS,1
DISTANT,1
FARAWAY,1
REMOTE,1
LONELY,1
RESTLESS,1
WEARY,1
SLEEPLESS,1
WAKING,1
WAKEFUL,1
RISING,1
SOARING,1
CRESTING,1
FALLING,1
FALLEN,1
SUNKEN,1
BURIED,1
ENTOMBED,1
HIDDEN,1
VEILED,1
SHROUDED,1
MASKED,1
CLOAKED,1
SHADED,1
DARKENED,1
DUSKY,1
MIDNIGHT,1
TWILIGHT,1
NOCTURNAL,1
DAWNING,1
GLEAMING,1
GLIMMERING,1
GLINTING,1
SAVAGE,1
FERAL,1
