Word,Weight
DAGGER,1
DIRK,1
STILETTO,1
KRIS,1
SCALPEL,1
RAZOR,1
CLEAVER,1
SICKLE,1
SCYTHE,1
GARROTE,1
NOOSE,1
NEEDLE,1
THORN,1
FANG,1
VENOM,1
VIPER,1
COBRA,1
MAMBA,1
ADDER,1
ASP,1
KRAIT,1
SCORPION,1
WIDOW,1
TARANTULA,1
REAPER,1
MORTICIAN,1
UNDERTAKER,1
GRAVEDIGGER,1
PHANTOM,1
SPECTER,1
WRAITH,1
SHADE,1
REVENANT,1
GHOST,1
SHADOW,1
SILHOUETTE,1
NIGHTSHADE,1
HEMLOCK,1
FOXGLOVE,1
OLEANDER,1
BELLADONNA,1
ARSENIC,1
CYANIDE,1
TOXIN,1
SERPENT,1
BASILISK,1
GORGON,1
HYDRA,1
MANTICORE,1
FALCON,1
HAWK,1
KESTREL,1
MERLIN,1
SHRIKE,1
RAPTOR,1
TALON,1
CLAW,1
BEAK,1
STING,1
BITE,1
WHISPER,1
MURMUR,1
HUSH,1
SILENCE,1
LULLABY,1
REQUIEM,1
EULOGY,1
EPITAPH,1
COFFIN,1
SHROUD,1
PALLBEARER,1
EXECUTIONER,1
HEADSMAN,1
ASSASSIN,1
CUTTHROAT,1
MARAUDER,1
STALKER,1
PROWLER,1
CREEPER,1
LURKER,1
HUNTER,1
PREDATOR,1
AMBUSHER,1
SNIPER,1
MARKSMAN,1
CROSSHAIR,1
BULLSEYE,1
JUGULAR,1
ARTERY,1
PULSE,1
HEARTBEAT,1
ECLIPSE,1
BLACKOUT,1
DEATHKNELL,1
WIDOWMAKER,1
KILLSHOT,1
FINALITY,1
QUIETUS,1
VENDETTA,1
RECKONING,1
