Word,Weight
MENTOR,1
TUTOR,1
INSTRUCTOR,1
TRAINER,1
DRILLMASTER,1
SERGEANT,1
TASKMASTER,1
PROCTOR,1
PRECEPTOR,1
COACH,1
ANVIL,1
CRUCIBLE,1
FORGE,1
FURNACE,1
WHETSTONE,1
GRINDSTONE,1
HAMMER,1
BELLOWS,1
TEMPERING,1
QUENCH,1
MOLD,1
CAST,1
FOUNDRY,1
SMITHY,1
BEDROCK,1
KEYSTONE,1
CORNERSTONE,1
FOUNDATION,1
GROUNDWORK,1
FOOTING,1
BENCH,1
PRIMER,1
LESSON,1
LECTURE,1
SEMINAR,1
ACADEMY,1
SCHOOLHOUSE,1
CLASSROOM,1
CURRICULUM,1
SYLLABUS,1
MANUAL,1
HANDBOOK,1
TEXTBOOK,1
CHALKBOARD,1
BLACKBOARD,1
WORKBOOK,1
DRILL,1
EXERCISE,1
REHEARSAL,1
MANEUVER,1
FORMATION,1
CADENCE,1
MARCHSTEP,1
PARADE,1
MUSTER,1
ROSTER,1
RECRUIT,1
CADET,1
TRAINEE,1
APPRENTICE,1
PROTEGE,1
STUDENT,1
PUPIL,1
NOVICE,1
GREENHORN,1
ROOKIE,1
FLEDGLING,1
SAPLING,1
SEEDLING,1
NURSERY,1
HATCHERY,1
INCUBATOR,1
CRUCEMENT,1
SCAFFOLD,1
FRAMEWORK,1
BLUEPRINT,1
TEMPLATE,1
PATTERN,1
BENCHMARK,1
MILESTONE,1
REGIMEN,1
ROUTINE,1
DISCIPLINE,1
STANDARD,1
DOCTRINE,1
CORNERPOST,1
MAINSTAY,1
BACKBONE,1
SINEW,1
LIGAMENT,1
TENDON,1
GROUNDSCHOOL,1
BOOTCAMP,1
BASECAMP,1
TOOLKIT,1
PLAYBOOK,1
PROVING,1
STRIPES,1
CHEVRON,1
INSTRUCTORATE,1
