Word,Weight
MIRAGE,1
DECOY,1
FEINT,1
SMOKESCREEN,1
RUSE,1
LURE,1
GAMBIT,1
SLEIGHT,1
PHANTOM,1
SIDESTEP,1
FLOURISH,1
DAZZLE,1
BLINDSIDE,1
JUGGLER,1
DISTRACTION,1
TRICKSTER,1
DIVERSION,1
MASQUERADE,1
CONJURER,1
ILLUSION,1
CHARADE,1
PRETENSE,1
FACADE,1
VENEER,1
BLUFF,1
HOAX,1
SHAM,1
FAKE,1
DUMMY,1
SCARECROW,1
STRAWMAN,1
MISDIRECTION,1
REDIRECTION,1
SIDETRACK,1
DETOUR,1
BYPASS,1
SMOKE,1
HAZE,1
FOG,1
MIST,1
BLUR,1
SHIMMER,1
GLARE,1
FLARE,1
SPARKLER,1
FIRECRACKER,1
RATTLE,1
JANGLE,1
CLAMOR,1
COMMOTION,1
UPROAR,1
HUBBUB,1
KERFUFFLE,1
HULLABALOO,1
FANFARE,1
SPECTACLE,1
CARNIVAL,1
CIRCUS,1
SIDESHOW,1
PUPPET,1
MARIONETTE,1
SLEIGHTOFHAND,1
CARDTRICK,1
SHELLGAME,1
THREECARD,1
BAITANDSWITCH,1
REDHERRING,1
WILDGOOSE,1
RUNAROUND,1
SHUFFLE,1
SWAP,1
SWITCHEROO,1
DOPPELGANGER,1
LOOKALIKE,1
BODYDOUBLE,1
STANDIN,1
UNDERSTUDY,1
IMPOSTER,1
MIMIC,1
MOCKUP,1
REPLICA,1
COUNTERFEIT,1
FORGERY,1
APPARITION,1
SPECTER,1
FAKEOUT,1
HEADFAKE,1
DEKES,1
JUKE,1
PIVOT,1
SPIN,1
TWIRL,1
WHIRL,1
DEFLECTION,1
SCREEN,1
CURTAIN,1
VEIL,1
CLOAK,1
SHROUD,1
TAPESTRY,1
