Word,Weight
CIPHER,1
WHISPER,1
KEYHOLE,1
LANTERN,1
MOCKINGBIRD,1
INKWELL,1
LEDGER,1
CANARY,1
DOSSIER,1
NIGHTINGALE,1
PEEPHOLE,1
SPYGLASS,1
CODEBOOK,1
LOCKPICK,1
MOLE,1
LISTENER,1
INFORMANT,1
PARLOR,1
ENVELOPE,1
PRETENSE,1
COURIER,1
HANDLER,1
STATION,1
TRADECRAFT,1
DEADDROP,1
CUTOUT,1
LEGEND,1
COVER,1
BACKSTOP,1
SAFEHOUSE,1
RENDEZVOUS,1
BRUSHPASS,1
SIGNAL,1
CHALKMARK,1
MICRODOT,1
CRYPTOGRAM,1
KEYPAD,1
PASSPHRASE,1
WATCHWORD,1
COUNTERSIGN,1
SHIBBOLETH,1
DECRYPT,1
ENCRYPT,1
INTERCEPT,1
WIRETAP,1
BUG,1
TRANSMITTER,1
RECEIVER,1
ANTENNA,1
FREQUENCY,1
SHORTWAVE,1
NUMBERS,1
BROADCAST,1
BLACKSITE,1
ARCHIVE,1
REGISTRY,1
FILING,1
CABINET,1
VAULT,1
SAFE,1
STRONGBOX,1
LOCKBOX,1
KEYRING,1
SKELETON,1
PASSKEY,1
TUMBLER,1
PADLOCK,1
COMBINATION,1
SLEEPER,1
AGENT,1
ASSET,1
SOURCE,1
CONTACT,1
NETWORK,1
CELL,1
RING,1
CIRCUIT,1
ESPIAL,1
RECONNAISSANCE,1
SURVEILLANCE,1
STAKEOUT,1
TAIL,1
SHADOW,1
FOOTPAD,1
SNEAK,1
PEEPER,1
SNOOP,1
EAVESDROP,1
KEYHOLDER,1
GATEKEEPER,1
DOORMAN,1
SENTINEL,1
WATCHER,1
OBSERVER,1
ANALYST,1
CRYPTANALYST,1
LINGUIST,1
CARTOGRAPHER,1
MAPMAKER,1
COUNTERSPY,1
