Word,Weight
LIFELINE,1
TALON,1
HOOK,1
GRASP,1
RIPCORD,1
SNATCH,1
LIFEBOAT,1
HARNESS,1
PULLEY,1
EXODUS,1
GRAPPLE,1
TETHER,1
WINCH,1
HANDHOLD,1
CLUTCH,1
RESCUE,1
BREAKOUT,1
GETAWAY,1
LADDER,1
HOMEWARD,1
RAPPEL,1
ABSEIL,1
ZIPLINE,1
HOIST,1
CRANE,1
DERRICK,1
GANTRY,1
CABLE,1
ROPE,1
LASSO,1
LARIAT,1
NOOSE,1
NET,1
DRAGLINE,1
GRABBER,1
PINCER,1
TONGS,1
FORCEPS,1
TWEEZERS,1
CLAW,1
CRAMPON,1
CARABINER,1
BELAY,1
ANCHOR,1
MOORING,1
CLEAT,1
BOLLARD,1
CAPSTAN,1
WINDLASS,1
JACK,1
LEVER,1
CROWBAR,1
PRY,1
WEDGE,1
CHOCK,1
BRACE,1
STRUT,1
JACKSTAND,1
HOOKSMAN,1
ROUGHNECK,1
WRANGLER,1
RETRIEVER,1
FETCHER,1
HAULER,1
PORTER,1
BEARER,1
STRETCHER,1
GURNEY,1
LITTER,1
PALANQUIN,1
SEDAN,1
CHARIOT,1
CARRIAGE,1
WAGON,1
CART,1
SLED,1
TOBOGGAN,1
SNOWCAT,1
HALFTRACK,1
ROVER,1
BUGGY,1
JEEP,1
TRANSPORT,1
SHUTTLE,1
FERRY,1
TUGBOAT,1
LIFEGUARD,1
PARAMEDIC,1
CORPSMAN,1
MEDEVAC,1
AIRLIFT,1
DUSTOFF,1
PICKUP,1
PULLOUT,1
EVAC,1
EGRESS,1
ESCAPE,1
FLIGHT,1
DEPARTURE,1
WITHDRAWAL,1
