Word,Weight
BULWARK,1
BASTION,1
SENTINEL,1
RAMPART,1
ANVIL,1
CITADEL,1
AEGIS,1
KEEP,1
WARDEN,1
PALISADE,1
REDOUBT,1
BARRICADE,1
BUTTRESS,1
FORTRESS,1
WATCHTOWER,1
PARAPET,1
GARRISON,1
SHIELDWALL,1
STRONGHOLD,1
MOAT,1
BATTLEMENT,1
CRENELLATION,1
MERLON,1
EMBRASURE,1
PORTCULLIS,1
DRAWBRIDGE,1
GATEHOUSE,1
BARBICAN,1
TURRET,1
DONJON,1
BAILEY,1
CURTAINWALL,1
OUTERWALL,1
INNERWALL,1
GLACIS,1
ESCARPMENT,1
COUNTERSCARP,1
BASTILLE,1
BLOCKHOUSE,1
PILLBOX,1
BUNKER,1
CASEMATE,1
EMPLACEMENT,1
STOCKADE,1
RAMPWAY,1
BERM,1
EARTHWORK,1
BREASTWORK,1
ABATIS,1
CHEVAUX,1
FORTALICE,1
RAVELIN,1
BASTIONET,1
TOWER,1
SPIRE,1
BELFRY,1
LOOKOUT,1
CROWSNEST,1
WATCHPOST,1
PICKET,1
CORDON,1
PERIMETER,1
BOUNDARY,1
FRONTIER,1
THRESHOLD,1
GATEWAY,1
PORTAL,1
DOORWAY,1
ARCHWAY,1
LINTEL,1
JAMB,1
HINGE,1
BOLT,1
LATCH,1
BAR,1
DEADBOLT,1
LOCK,1
KEY,1
WARD,1
WARDER,1
GUARDHOUSE,1
SENTRYBOX,1
BARRACKS,1
ARMORY,1
MAGAZINE,1
KEEPGATE,1
MAINSTAY,1
BACKBONE,1
PILLAR,1
COLUMN,1
COLONNADE,1
FOUNDATION,1
FOOTING,1
BEDROCK,1
ANCHORSTONE,1
SHIELDBEARER,1
DEFENDER,1
PROTECTOR,1
CUSTODIAN,1
DRAWGATE,1
