Word,Weight
HORNET,1
BRIAR,1
THICKET,1
WILDFIRE,1
JACKAL,1
BRUSHFIRE,1
AMBUSH,1
TINDER,1
NETTLE,1
PARTISAN,1
UPRISING,1
BROADSIDE,1
SWARM,1
WASP,1
BRAMBLE,1
FIREBRAND,1
HINTERLAND,1
GADFLY,1
MAQUIS,1
PITFALL,1
SNARE,1
DEADFALL,1
PUNJI,1
TRIPWIRE,1
BOOBY,1
MANTRAP,1
THORNBUSH,1
HEDGEROW,1
UNDERGROWTH,1
UNDERBRUSH,1
BRACKEN,1
BRAMBLEWOOD,1
COPPICE,1
COPSE,1
BOSK,1
SWAMPLAND,1
MARSHLAND,1
BACKWOODS,1
BADLANDS,1
WILDERNESS,1
WILDLAND,1
OUTBACK,1
BUSHLAND,1
SCRUBLAND,1
HIDEWOOD,1
FOXHOLE,1
SPIDERHOLE,1
RATLINE,1
TUNNEL,1
WARREN,1
BURROW,1
DEN,1
LAIR,1
HIDEOUT,1
HIDEAWAY,1
RETREAT,1
REDOUBT,1
BOLTHOLE,1
SANCTUARY,1
REFUGE,1
INSURGENT,1
REBEL,1
GUERRILLA,1
IRREGULAR,1
RAIDER,1
SKIRMISHER,1
HARRIER,1
SABOTEUR,1
NIGHTRIDER,1
BUSHWHACKER,1
BACKSHOOTER,1
POUNCER,1
HITANDRUN,1
STINGRAY,1
GNAT,1
MOSQUITO,1
WASPS,1
HORNETS,1
SWARMER,1
VESPID,1
FIREFLY,1
EMBERFALL,1
CINDER,1
ASHFALL,1
BACKFIRE,1
FLASHFIRE,1
TINDERBOX,1
POWDERKEG,1
BONFIRE,1
WISP,1
FOXTAIL,1
MONGOOSE,1
VIPER,1
COTTONMOUTH,1
COPPERHEAD,1
MOLOTOV,1
JERRYCAN,1
TRAILMINE,1
ROADMINE,1
CULVERTBOMB,1
