Word,Weight
FERRET,1
BADGER,1
BLOODHOUND,1
TRAPDOOR,1
SNARE,1
MOUSETRAP,1
BURROW,1
TERRIER,1
MONGOOSE,1
DRAGNET,1
SIEVE,1
TRIPWIRE,1
LATCH,1
KEYRING,1
WATCHDOG,1
GIMLET,1
TWEEZERS,1
MANHOLE,1
BEAGLE,1
BASSET,1
FOXHOUND,1
POINTER,1
SETTER,1
RETRIEVER,1
TRACKER,1
SLEUTH,1
GUMSHOE,1
SNIFFER,1
BLOODTRAIL,1
SCENTTRAIL,1
SPOOR,1
TRAIL,1
TRACK,1
FOOTPRINT,1
PAWPRINT,1
PUGMARK,1
HANDPRINT,1
FINGERPRINT,1
SMUDGE,1
RESIDUE,1
TRACE,1
VESTIGE,1
REMNANT,1
CLUE,1
EVIDENCE,1
TELL,1
GIVEAWAY,1
BREADCRUMB,1
TELLTALE,1
FINGERPOST,1
SIGNPOST,1
WEATHERVANE,1
DIVINING,1
PENDULUM,1
DOWSER,1
LOCATOR,1
DETECTOR,1
SCANNER,1
SWEEPER,1
PROBER,1
NEEDLE,1
HAYSTACK,1
LANTERN,1
MAGNIFIER,1
LOUPE,1
MICROSCOPE,1
CROSSCHECK,1
BACKTRACE,1
TRACER,1
TAG,1
BEACON,1
TRANSPONDER,1
HONEYTRAP,1
STINGPOT,1
PITFALL,1
DEADFALL,1
NET,1
WEB,1
MESH,1
SCREEN,1
FILTER,1
STRAINER,1
COLANDER,1
FUNNEL,1
DRAINPIPE,1
CULVERT,1
SEWER,1
AQUEDUCT,1
CONDUIT,1
PASSAGE,1
CRAWLSPACE,1
AIRDUCT,1
VENT,1
GRATE,1
GRILLE,1
MANHUNT,1
ROUNDUP,1
CRACKDOWN,1
FLUSHOUT,1
SMOKEOUT,1
