Word,Weight
SPEARHEAD,1
HAMMERHEAD,1
PILEDRIVER,1
WRECKINGBALL,1
SLEDGE,1
JACKHAMMER,1
BREAKER,1
CROWBAR,1
RAMROD,1
SUCKERPUNCH,1
HAYMAKER,1
KNUCKLE,1
BATTERING,1
MALLET,1
PICKAXE,1
CHISEL,1
DEMOLITION,1
UPPERCUT,1
BULLDOZER,1
WRECKER,1
MAUL,1
MACE,1
WARHAMMER,1
BLUDGEON,1
CUDGEL,1
TRUNCHEON,1
FLAIL,1
MORNINGSTAR,1
GAVEL,1
POUNDER,1
RAMMER,1
TAMPER,1
TRENCHER,1
EXCAVATOR,1
BACKHOE,1
WRECKING,1
DEMOLISHER,1
LEVELER,1
RAZER,1
SMASHER,1
CRUSHER,1
GRINDER,1
PULVERIZER,1
SHREDDER,1
SPLITTER,1
CLEAVER,1
HATCHET,1
TOMAHAWK,1
CLEAVE,1
CHOP,1
HACK,1
GOUGE,1
PRY,1
LEVER,1
FULCRUM,1
WEDGE,1
SPIKE,1
STAKE,1
PICKET,1
LANCE,1
JAVELIN,1
HARPOON,1
PIKE,1
HALBERD,1
GLAIVE,1
SPONTOON,1
PARTISAN,1
BAYONET,1
THRUST,1
LUNGE,1
CHARGE,1
ONRUSH,1
BLITZ,1
ASSAULT,1
STORM,1
BREACH,1
RUPTURE,1
PUNCTURE,1
PERFORATION,1
GASH,1
RIFT,1
FISSURE,1
CREVASSE,1
BREAKTHROUGH,1
PENETRATION,1
INCURSION,1
INROAD,1
FOOTFALL,1
STAMPEDE,1
JUGGERNAUT,1
RAM,1
WALLBREAKER,1
GATECRASHER,1
DOORBUSTER,1
SPEARPOINT,1
ARROWHEAD,1
SMASHGRAB,1
WALLBUSTER,1
GATEBREAKER,1
DOORKICKER,1
