Word,Weight
SPYGLASS,1
PERISCOPE,1
LOOKOUT,1
VANTAGE,1
HAWKEYE,1
SEXTANT,1
TELESCOPE,1
BINOCULAR,1
VIGIL,1
HORIZON,1
CROWSNEST,1
SCOUT,1
OVERWATCH,1
SENTRY,1
BEACON,1
EYRIE,1
WATCHFIRE,1
SPOTTER,1
GLIMPSE,1
SKYLINE,1
OUTLOOK,1
VIEWPOINT,1
BELVEDERE,1
OBSERVATORY,1
PANORAMA,1
VISTA,1
OVERLOOK,1
SCENIC,1
PARAPET,1
TURRET,1
CUPOLA,1
WIDOWSWALK,1
ROOFTOP,1
HIGHGROUND,1
RIDGELINE,1
CRESTLINE,1
SUMMIT,1
PEAK,1
PINNACLE,1
APEX,1
ZENITH,1
LOFTY,1
AERIE,1
PERCH,1
ROOST,1
NEST,1
LENS,1
OPTIC,1
MONOCULAR,1
FIELDGLASS,1
RANGEFINDER,1
THEODOLITE,1
ALIDADE,1
ASTROLABE,1
COMPASS,1
GNOMON,1
SUNDIAL,1
WEATHERVANE,1
WINDSOCK,1
BAROMETER,1
ANEMOMETER,1
GAUGE,1
DIAL,1
RETICLE,1
GRATICULE,1
CROSSHAIR,1
VIEWFINDER,1
EYEPIECE,1
APERTURE,1
SHUTTER,1
IRIS,1
PUPIL,1
RETINA,1
GAZE,1
GLANCE,1
STARE,1
PEEK,1
PEER,1
SQUINT,1
SCAN,1
SWEEP,1
SURVEY,1
WATCH,1
WARD,1
VIGILANCE,1
STAKEOUT,1
RECONNAISSANCE,1
RECON,1
PATROL,1
PICKET,1
OUTPOST,1
LISTENINGPOST,1
FORWARDPOST,1
FARSIGHT,1
KEENEYE,1
EAGLEEYE,1
WATCHMAN,1
OBSERVER,1
WATCHKEEPER,1
SKYWATCH,1
