Word,Weight
EAGLE,1
TALON,1
BLOODHOUND,1
SNARE,1
FALCON,1
HARPOON,1
TRIDENT,1
MARLIN,1
KRAKEN,1
CUTLASS,1
GALLOWS,1
DRAGNET,1
BOUNTY,1
MANHUNT,1
TROPHY,1
PREDATOR,1
HARRIER,1
OSPREY,1
GAFF,1
NOOSE,1
HANGMAN,1
GIBBET,1
SCAFFOLD,1
YARDARM,1
BRIG,1
SHACKLE,1
MANACLE,1
FETTER,1
IRON,1
CHAIN,1
ANCHOR,1
GRAPNEL,1
BOARDINGHOOK,1
CANNON,1
CARRONADE,1
BROADSIDE,1
BILGE,1
KEEL,1
HULL,1
MAST,1
CROWSNEST,1
RIGGING,1
PLANK,1
GALLEON,1
FRIGATE,1
SCHOONER,1
CORSAIR,1
PRIVATEER,1
BUCCANEER,1
FREEBOOTER,1
MARAUDER,1
RAIDER,1
REAVER,1
PLUNDERER,1
PILLAGER,1
BRIGAND,1
CUTTHROAT,1
ROGUE,1
SCOUNDREL,1
BLACKFLAG,1
JOLLYROGER,1
SKULL,1
CROSSBONES,1
DOUBLOON,1
PIECESOFEIGHT,1
BOOTY,1
LOOT,1
PLUNDER,1
RANSOM,1
LETTERS,1
MARQUE,1
BLOODMONEY,1
HEADHUNTER,1
TRACKER,1
STALKER,1
PURSUER,1
CHASER,1
HUNTER,1
HUNTSMAN,1
HOUNDSMAN,1
FALCONER,1
FOWLER,1
TRAPPER,1
SNARER,1
NETTER,1
ANGLER,1
FISHER,1
TRAWLER,1
HARPOONER,1
WHALER,1
LANCER,1
SPEARMAN,1
GAFFER,1
BOARDER,1
RAIDPARTY,1
SWEEP,1
PATROL,1
INTERCEPTOR,1
CUTTER,1
SEADOG,1
