Word,Weight
PLUNDER,1
PILLAGE,1
RANSACK,1
SPOILS,1
BOOTY,1
HAUL,1
HOARD,1
TROVE,1
WINDFALL,1
JACKPOT,1
GREED,1
AVARICE,1
TRIBUTE,1
TITHE,1
TOLL,1
LEVY,1
EXTORTION,1
SHAKEDOWN,1
HOLDUP,1
HEIST,1
STICKUP,1
SMASHGRAB,1
SNATCH,1
GRABBAG,1
CUTPURSE,1
BLACKGUARD,1
KNAVE,1
RASCAL,1
VAGABOND,1
OUTLAW,1
RENEGADE,1
DESPERADO,1
FREEBOOTER,1
CORSAIR,1
BUCCANEER,1
SWASHBUCKLER,1
SEAWOLF,1
RAVEN,1
VULTURE,1
MAGPIE,1
JACKDAW,1
CARRION,1
LOCUST,1
VERMIN,1
JACKAL,1
HYENA,1
WOLFPACK,1
SCAVENGER,1
RUSTLER,1
BANDIT,1
HIGHWAYMAN,1
ROBBER,1
FILCH,1
PLUNDERBOLT,1
TEMPEST,1
SQUALL,1
GALE,1
MAELSTROM,1
TYPHOON,1
HURRICANE,1
CYCLONE,1
BROADSIDE,1
CANNONADE,1
SALVO,1
VOLLEY,1
BOARDING,1
GRAPPLE,1
CUTLASS,1
SABER,1
SCIMITAR,1
DAGGER,1
DIRK,1
BLACKFLAG,1
SKULLFLAG,1
DEADMAN,1
CROSSBONE,1
GALLOWS,1
GIBBET,1
FIREBRAND,1
ARSON,1
SCORCH,1
CINDER,1
EMBER,1
ASHES,1
BONFIRE,1
WILDFIRE,1
RAPINE,1
DESPOIL,1
RAVAGE,1
RAMPAGE,1
SACKAGE,1
SPOILAGE,1
GRIST,1
PREYBIRD,1
TALONGRAB,1
NIGHTHAWK,1
