Word,Weight
AVALANCHE,1
HAMMER,1
TEMPEST,1
ONSLAUGHT,1
JUGGERNAUT,1
LANDFALL,1
SIEGE,1
THUNDERHEAD,1
CATACLYSM,1
MASONRY,1
RAMPAGE,1
BREACH,1
VANGUARD,1
TITAN,1
LEVIATHAN,1
HURRICANE,1
MAELSTROM,1
BOMBARD,1
INFERNO,1
GROUNDSWELL,1
BLITZKRIEG,1
FIRESTORM,1
EARTHQUAKE,1
TREMOR,1
UPHEAVAL,1
ERUPTION,1
VOLCANO,1
CASCADE,1
DELUGE,1
FLOODTIDE,1
TSUNAMI,1
TIDALWAVE,1
TORRENT,1
CATARACT,1
LANDSLIDE,1
ROCKSLIDE,1
MUDSLIDE,1
SANDSTORM,1
CYCLONE,1
TYPHOON,1
MONSOON,1
SQUALL,1
GALE,1
THUNDERBOLT,1
LIGHTNING,1
SHOCKWAVE,1
DETONATION,1
CANNONADE,1
BARRAGE,1
SALVO,1
VOLLEY,1
FUSILLADE,1
BROADSIDE,1
ARTILLERY,1
MORTAR,1
HOWITZER,1
RAM,1
CATAPULT,1
TREBUCHET,1
BALLISTA,1
MANGONEL,1
BATTERINGRAM,1
BREAKTHROUGH,1
OVERRUN,1
STAMPEDE,1
STAMPEDER,1
COLOSSUS,1
BEHEMOTH,1
MAMMOTH,1
GOLIATH,1
GIANT,1
OGRE,1
GOLEM,1
MONOLITH,1
OBELISK,1
MENHIR,1
BULWARKBREAKER,1
WALLBREAKER,1
RAMPART,1
STORMING,1
ESCALADE,1
BEACHHEAD,1
BRIDGEHEAD,1
FOOTHOLDLAND,1
INVASION,1
CONQUEST,1
ANNEXATION,1
SUBJUGATION,1
DEVASTATION,1
RUINATION,1
OVERTHROW,1
TOPPLING,1
ORBITALDROP,1
DROPSHIP,1
LANDINGCRAFT,1
BEACHSTORM,1
ASSAULTWAVE,1
SHOCKASSAULT,1
SIEGEWORK,1
SAPLINE,1
