Word,Weight
PATHFINDER,1
COMPASS,1
LODESTONE,1
OUTRIDER,1
PROBE,1
WAYPOINT,1
FORAY,1
SNIFFER,1
RANGER,1
PIONEER,1
FOOTPRINT,1
SURVEY,1
LEGWORK,1
FEELER,1
VANGUARD,1
TRAILHEAD,1
RECCE,1
WHISKER,1
ANTENNA,1
DIVINER,1
SCOUT,1
TRACKER,1
GUIDE,1
WAYFINDER,1
TRAILBLAZER,1
FRONTRUNNER,1
FORERUNNER,1
HARBINGER,1
HERALD,1
OUTPOST,1
PICKET,1
VEDETTE,1
SKIRMISHER,1
PATROLLER,1
PATROL,1
PROWL,1
SORTIE,1
EXCURSION,1
EXPEDITION,1
RECONNOITER,1
SWEEP,1
SENSOR,1
RADAR,1
SONAR,1
LIDAR,1
PING,1
ECHO,1
SIGNAL,1
TRANSPONDER,1
BEACON,1
MARKER,1
CAIRN,1
BLAZE,1
LANDMARK,1
MILEPOST,1
SIGNPOST,1
BEARING,1
HEADING,1
AZIMUTH,1
VECTOR,1
COORDINATE,1
GRIDREF,1
TRIANGULATION,1
FIX,1
WAYPOST,1
CHECKPOINT,1
WAYSTATION,1
CROSSROADS,1
JUNCTION,1
FORK,1
BYWAY,1
TRAILMARK,1
SPOOR,1
SCENT,1
TRACK,1
TRACE,1
LEAD,1
TIPOFF,1
INTEL,1
SNAPSHOT,1
GLIMPSE,1
PEEK,1
TENDRIL,1
ANTENNAE,1
SENSORIUM,1
PERISCOPE,1
DRONE,1
EYE,1
EYES,1
FARSCAN,1
WIDEEYE,1
LONGEYE,1
SCOUTCRAFT,1
OUTREACH,1
SCOUTWING,1
FARRUNNER,1
LONGWALK,1
DEEPPATROL,1
POINTMAN,1
FLANKMAN,1
