Word,Weight
CAVALRY,1
LIFELINE,1
RELIEVER,1
MERCY,1
RESPITE,1
BACKSTOP,1
UNDERPIN,1
LIFERAFT,1
SAFEGUARD,1
HAVEN,1
REFUGE,1
SUCCOR,1
BULWARK,1
STOPGAP,1
RALLY,1
SALVATION,1
HARBOR,1
LIFEGUARD,1
ANCHOR,1
BUFFER,1
AID,1
RELIEF,1
RESCUE,1
REPRIEVE,1
DELIVERANCE,1
REINFORCEMENT,1
SUPPORT,1
BACKUP,1
RESERVE,1
FALLBACK,1
BOLSTER,1
BRACE,1
PROP,1
SHORE,1
MAINSTAY,1
CRUTCH,1
SPLINT,1
BANDAGE,1
TOURNIQUET,1
POULTICE,1
BALM,1
SALVE,1
REMEDY,1
TONIC,1
ELIXIR,1
RESTORATIVE,1
LIFEBLOOD,1
SUSTENANCE,1
PROVISION,1
RATION,1
SUPPLY,1
RESUPPLY,1
AIRDROP,1
AIRLIFT,1
DROPZONE,1
CORRIDOR,1
BREAKTHROUGH,1
BREAKOUT,1
COUNTERATTACK,1
COUNTERTHRUST,1
RIPOSTE,1
RESCUEPARTY,1
RELIEFORCE,1
VANGUARD,1
SPEARHEAD,1
COLUMN,1
CONVOY,1
CARAVAN,1
WAGONTRAIN,1
PACKTRAIN,1
SUPPLYLINE,1
UMBILICAL,1
TETHER,1
CORD,1
ROPE,1
LADDER,1
HANDHOLD,1
FOOTHOLD,1
LIFECORD,1
GRIP,1
CLASP,1
EMBRACE,1
SHELTER,1
SANCTUARY,1
ASYLUM,1
BASTION,1
STRONGHOLD,1
WATCHTOWER,1
BEACON,1
LIGHTHOUSE,1
GUIDINGSTAR,1
NORTHSTAR,1
POLARIS,1
COMPASS,1
HOPE,1
DAWN,1
SUNRISE,1
REPRIEVAL,1
RELIEFCOLUMN,1
BREADLINE,1
