Word,Weight
MAINSTAY,1
KEYSTONE,1
TENURE,1
HEARTHSTONE,1
LINCHPIN,1
BULWARK,1
STIPEND,1
LOYALIST,1
MAINSPRING,1
BACKBONE,1
HOMESTEAD,1
WARRANT,1
COVENANT,1
HANDSHAKE,1
TENANT,1
STEWARD,1
PILLAR,1
BEDROCK,1
FIXTURE,1
MOORING,1
ANCHOR,1
BALLAST,1
FOUNDATION,1
FOOTING,1
CORNERSTONE,1
BASTION,1
STRONGHOLD,1
HEARTH,1
HOMEFIRE,1
HOMEFRONT,1
HOUSEHOLD,1
DEMESNE,1
MANOR,1
ESTATE,1
HOLDING,1
FIEF,1
FIEFDOM,1
DOMAIN,1
DOMINION,1
PROVINCE,1
MARCH,1
TERRITORY,1
FREEHOLD,1
LONGSTANDING,1
OLDGUARD,1
VETERAN,1
STALWART,1
FAITHFUL,1
STAUNCH,1
STEADFAST,1
CONSTANT,1
ABIDING,1
ENDURING,1
LASTING,1
PERMANENT,1
TENURED,1
SALARIED,1
PENSIONER,1
RETAINER,1
VASSAL,1
LIEGE,1
OATH,1
FEALTY,1
ALLEGIANCE,1
PLEDGE,1
BOND,1
TROTH,1
VOW,1
PROMISE,1
CONTRACT,1
CHARTER,1
DEED,1
PATENT,1
SEAL,1
SIGNET,1
CREST,1
HERALDRY,1
STANDARD,1
BANNER,1
COLORS,1
ENSIGN,1
LIVERY,1
UNIFORM,1
BADGE,1
INSIGNIA,1
RANK,1
CHEVRON,1
STRIPE,1
TABARD,1
SIGIL,1
ESCUTCHEON,1
COAT,1
ARMS,1
FAMILY,1
DYNASTY,1
LINEAGE,1
BLOODLINE,1
HERITAGE,1
LEGACY,1
INHERITANCE,1
