Word,Weight
CURFEW,1
TRUNCHEON,1
LOCKSTEP,1
CORDON,1
DAMPER,1
KETTLE,1
BATON,1
PICKET,1
TINDERBOX,1
FLASHPOINT,1
BARRICADE,1
DISPERSAL,1
MEGAPHONE,1
SHIELDWALL,1
STANDOFF,1
POWDERKEG,1
UPROAR,1
CLAMOR,1
RABBLE,1
TEMPERANCE,1
CROWD,1
MOB,1
THRONG,1
HORDE,1
SWARM,1
MULTITUDE,1
MASSES,1
RANK,1
PHALANX,1
WEDGE,1
LINE,1
SKIRMISHLINE,1
RIOTLINE,1
FRONTLINE,1
SHIELD,1
VISOR,1
HELM,1
NIGHTSTICK,1
BILLYCLUB,1
CUDGEL,1
PROD,1
STUNBATON,1
WATERCANNON,1
TEARGAS,1
PEPPERSPRAY,1
SMOKEBOMB,1
FLASHBANG,1
STUNGRENADE,1
RUBBERBULLET,1
BEANBAG,1
NETGUN,1
CONTAINMENT,1
PERIMETER,1
FENCELINE,1
BLOCKADE,1
CHECKPOINT,1
CHOKEPOINT,1
BOTTLENECK,1
GANGLANE,1
KETTLING,1
CORRAL,1
PEN,1
ENCLOSURE,1
HOLDING,1
PADDOCK,1
STOCKADE,1
CELL,1
BRIG,1
JAIL,1
LOCKUP,1
CAGE,1
BARS,1
CUFF,1
SHACKLE,1
MANACLE,1
Z5LOOP,1
ZIP,1
RESTRAINT,1
TETHER,1
LEASH,1
MUZZLE,1
GAG,1
DAMPENER,1
SILENCER,1
PACIFIER,1
SOOTHER,1
CALMATIVE,1
SEDATIVE,1
CURBSTONE,1
GUTTER,1
PAVEMENT,1
PLAZA,1
SQUARE,1
ROTUNDA,1
COMMONS,1
AGORA,1
FORUM,1
BAZAAR,1
MARKETPLACE,1
CONCOURSE,1
