Word,Weight
FUSE,1
DETONATOR,1
WRENCH,1
GREMLIN,1
MONKEYWRENCH,1
KEROSENE,1
SPANNER,1
TIMEBOMB,1
MISFIRE,1
TERMITE,1
SABOT,1
THERMITE,1
TRIPWIRE,1
FIRESTARTER,1
SNARL,1
GLITCH,1
KINK,1
JAM,1
CORROSION,1
SANDBAG,1
WRECKER,1
SPOILER,1
SPANNERS,1
COG,1
GEAR,1
SPROCKET,1
RATCHET,1
COTTERPIN,1
SHIM,1
GASKET,1
BEARING,1
BUSHING,1
FLYWHEEL,1
PISTON,1
VALVE,1
GAUGE,1
PRESSURE,1
OVERLOAD,1
SHORTCIRCUIT,1
FAULT,1
FRITZ,1
MELTDOWN,1
BREAKDOWN,1
MALFUNCTION,1
FAILURE,1
BLOWOUT,1
BURNOUT,1
FLAMEOUT,1
SPUTTER,1
STALL,1
SEIZE,1
GRIND,1
CLOG,1
BLOCKAGE,1
OBSTRUCTION,1
SNAG,1
HITCH,1
SNAFU,1
FOULUP,1
MIXUP,1
TANGLE,1
KNOT,1
NOOSE,1
GARROTE,1
LEVER,1
CROWBAR,1
PRYBAR,1
JIMMY,1
SKELETON,1
TAMPERING,1
MEDDLING,1
MONKEYING,1
INTERFERENCE,1
DISRUPTION,1
SUBVERSION,1
UNDERMINING,1
UNDERHAND,1
BACKDOOR,1
TRAPDOOR,1
LOGICBOMB,1
WORM,1
VIRUS,1
PAYLOAD,1
CHARGE,1
DEMOLITION,1
DYNAMITE,1
NITRO,1
PLASTIQUE,1
BLASTCAP,1
PRIMER,1
DELAYFUSE,1
SLOWMATCH,1
FLASHPAPER,1
OILYRAG,1
MATCHHEAD,1
SPARKER,1
IGNITER,1
ACCELERANT,1
FIREBUG,1
PYRE,1
