Word,Weight
SENTRY,1
PADLOCK,1
DEADBOLT,1
WARDEN,1
COMPOUND,1
PERIMETER,1
VAULT,1
CHECKPOINT,1
GATEKEEPER,1
ESCORT,1
LOCKBOX,1
SAFEHOUSE,1
WATCHMAN,1
GUARDIAN,1
TURNSTILE,1
CORDON,1
STRONGBOX,1
BODYGUARD,1
KEYRING,1
FLOODLIGHT,1
SENTINEL,1
PICKET,1
PATROL,1
ROUNDS,1
BEAT,1
WATCHTOWER,1
GUARDHOUSE,1
GATEHOUSE,1
BARRIER,1
BOLLARD,1
BARRICADE,1
FENCE,1
RAILING,1
PALISADE,1
STOCKADE,1
WALL,1
RAMPART,1
MOAT,1
TRENCH,1
DITCH,1
CHOKEPOINT,1
SCANNER,1
DETECTOR,1
ALARM,1
SIREN,1
BUZZER,1
TRIPWIRE,1
SENSOR,1
MOTIONDETECTOR,1
CAMERA,1
LENS,1
MONITOR,1
SCREEN,1
CONSOLE,1
DISPATCH,1
CONTROL,1
GATE,1
PORTAL,1
DOORWAY,1
THRESHOLD,1
ENTRYWAY,1
FOYER,1
LOBBY,1
VESTIBULE,1
ANTEROOM,1
LOCKDOWN,1
CLAMPDOWN,1
CURFEW,1
PASS,1
BADGE,1
CREDENTIAL,1
CLEARANCE,1
KEYCARD,1
FOB,1
TOKEN,1
BIOMETRIC,1
FINGERPRINT,1
RETINA,1
PASSCODE,1
KEYPAD,1
TUMBLER,1
COMBINATION,1
SHACKLE,1
HANDCUFF,1
RESTRAINT,1
HOLSTER,1
BATON,1
NIGHTSTICK,1
SIDEARM,1
WATCHDOG,1
HOUND,1
MASTIFF,1
ROTTWEILER,1
DOBERMAN,1
SHEPHERD,1
PROTECTOR,1
CUSTODIAN,1
KEEPER,1
STEWARD,1
SENTRYPOST,1
