Word,Weight
DREAD,1
SPECTER,1
NIGHTMARE,1
PANDEMONIUM,1
HAVOC,1
TREMOR,1
SHOCKWAVE,1
PALLOR,1
OMEN,1
SCOURGE,1
PLAGUE,1
TERROR,1
BOOGEYMAN,1
GALLOWS,1
DIRGE,1
PANIC,1
MAYHEM,1
CHAOS,1
RECKONING,1
DOOMSDAY,1
APOCALYPSE,1
CATACLYSM,1
CALAMITY,1
CATASTROPHE,1
DISASTER,1
RUIN,1
RUINATION,1
DEVASTATION,1
DESOLATION,1
WASTELAND,1
SCORCHED,1
ASHES,1
CINDERS,1
EMBERS,1
PYRE,1
INFERNO,1
FIRESTORM,1
BLAZE,1
CONFLAGRATION,1
HOLOCAUST,1
MAELSTROM,1
WHIRLWIND,1
VORTEX,1
ABYSS,1
VOID,1
OBLIVION,1
DAMNATION,1
PERDITION,1
PURGATORY,1
HADES,1
TARTARUS,1
NETHER,1
GLOOM,1
MURK,1
SHADOW,1
DARKNESS,1
BLACKOUT,1
ECLIPSE,1
BLIGHT,1
PESTILENCE,1
CONTAGION,1
PANDEMIC,1
EPIDEMIC,1
OUTBREAK,1
INFECTION,1
POISON,1
VENOM,1
TOXIN,1
MIASMA,1
VAPOR,1
FUME,1
SMOG,1
CHOKE,1
GASP,1
SHUDDER,1
SHIVER,1
QUAKE,1
QUIVER,1
FOREBODING,1
PORTENT,1
HARBINGER,1
HERALD,1
KNELL,1
TOLLING,1
DEATHBELL,1
WAIL,1
KEEN,1
LAMENT,1
REQUIEM,1
THRENODY,1
FUNERAL,1
TOMBSTONE,1
GRAVESTONE,1
EPITAPH,1
SHROUD,1
REAPER,1
DOOM,1
BLOODBATH,1
MASSACRE,1
CARNAGE,1
