Word,Weight
VANGUARD,1
THUNDERBOLT,1
HAMMER,1
SABER,1
FALCON,1
SPEAR,1
TALON,1
TEMPEST,1
SENTINEL,1
LANCE,1
CRUSADER,1
PALADIN,1
TITAN,1
COMET,1
HALBERD,1
VALKYRIE,1
PHALANX,1
RAMPART,1
AVALANCHE,1
GAUNTLET,1
AEGIS,1
BANNER,1
STANDARD,1
PENNANT,1
ENSIGN,1
COLORS,1
SWORD,1
SHIELD,1
HELM,1
JAVELIN,1
ARROW,1
BOLT,1
QUARREL,1
DART,1
GLAIVE,1
MAUL,1
MACE,1
WARHAMMER,1
AXE,1
TOMAHAWK,1
CUTLASS,1
RAPIER,1
KATANA,1
CLAYMORE,1
BROADSWORD,1
LONGSWORD,1
SHORTSWORD,1
DAGGER,1
BUCKLER,1
PAVISE,1
TARGE,1
CUIRASS,1
BREASTPLATE,1
GREAVE,1
VAMBRACE,1
PAULDRON,1
GORGET,1
VISOR,1
CASQUE,1
MORION,1
SALLET,1
BARBUTE,1
CHARGER,1
DESTRIER,1
WARHORSE,1
STEED,1
MOUNT,1
CAVALIER,1
KNIGHT,1
TEMPLAR,1
HOSPITALLER,1
LANCER,1
DRAGOON,1
HUSSAR,1
GRENADIER,1
FUSILIER,1
MUSKETEER,1
RIFLEMAN,1
LEGIONNAIRE,1
CENTURION,1
HOPLITE,1
SPARTAN,1
GLADIATOR,1
CHAMPION,1
WARLORD,1
MARSHAL,1
CAPTAIN,1
COMMANDER,1
GENERAL,1
ADMIRAL,1
WARDEN,1
GUARDIAN,1
DEFENDER,1
PROTECTOR,1
AVENGER,1
HARBINGER,1
HERALD,1
VICTOR,1
CONQUEROR,1
WARCRY,1
